ENA_RUN_ACCESSION,SET1,ANTIBIOGRAM1,SET2,ANTIBIOGRAM2,SET3,ANTIBIOGRAM3
ERR5917748,basic,RRRRSSSSSUSRRRS,nulls,RRRRSSSSSUSRRRS,nulls+minors,RRRRSSSSSUSRRRS
ERR5917749,basic,RRRRSSSSSSSRRSS,nulls,RRRRSSSSSSSRRSS,nulls+minors,RRRRSSSSSSSRRSS
ERR5917750,basic,RSSSSSSSSSSSRSS,nulls,RSSSSSSSSSSSRSS,nulls+minors,RSSSSSSSSSSSRSS
ERR5917753,basic,RRRRSSSSSUSRRRS,nulls,RRRRSSSSSUSRRRS,nulls+minors,RRRRSSSSSUSRRRS
ERR5917754,basic,RRRRSSRRSSRRSRR,nulls,RRRRSSRRSSRRSRR,nulls+minors,RRRRSSRRSSRRSRR
ERR5917756,basic,RSSSSSSSSSSRSSS,nulls,RSSSSSSSSSSRSSS,nulls+minors,RSSSSSSSSSSRSSS
ERR5917757,basic,SSSSSSSSSUSSSSS,nulls,SSSSSSSSSUSSSSS,nulls+minors,SSSSSSSSSUSSSSS
ERR5917758,basic,RRRRSSRRSUSSRRS,nulls,RRRRSSRRSUSSRRS,nulls+minors,RRRRSSRRSUSSRRS
ERR5917760,basic,RRRUSSSSSSSRRSS,nulls,RRRUSSSSSSSRRSS,nulls+minors,RRRUSSSSSSSRRSS
ERR5917761,basic,RRRRSSRRSSRRRRR,nulls,RRRRSSRRSSRRRRR,nulls+minors,RRRRSSRRSSRRRRR
ERR5917762,basic,USSSSSSSSUSSSSS,nulls,USSSSSSSSUSSSSS,nulls+minors,USSSSSSSSUSSSSS
ERR5917763,basic,SSSSSSSSSSSRSSS,nulls,SSSSSSSSSSSRSSS,nulls+minors,SSSSSSSSSSSRSSS
ERR5917765,basic,SSSSSUSSSSSSSSS,nulls,SSSSSUSSSSSFSSS,nulls+minors,SSSSSUSSSSSFSSS
ERR5917767,basic,SSSSSSUUSSUSSUS,nulls,SSSSSSUUSSUSSUS,nulls+minors,SSSSSSUUSSUSSUS
ERR5917769,basic,RRRRSSRRSURRRRS,nulls,RRRRSSRRSURRRRS,nulls+minors,RRRRSSRRSURRRRS
ERR5917971,basic,RRSSUSSSUSSSSSS,nulls,RRSSUSSSUSSSSSS,nulls+minors,RRSSUSSSUSSSSSS
