UNIQUEID,WCHG_ID,ENA_RUN_ACCESSION,ENA_SAMPLE_ACCESSION,ENA_STUDY_ACCESSION,HAS_ALL_DRUGS,N_SUSCEPTIBLE,N_RESISTANT,N_DRUGS,BDQ,CAP,LZD,PZA,STM,FASTQ_FTP
site.10.subj.XK01249710.lab.XK01249710.iso.1,WTCHG_934881_72955367,ERR9993253,SAMEA110420775,PRJEB55007,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/003/ERR9993253/ERR9993253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/003/ERR9993253/ERR9993253_2.fastq.gz
site.10.subj.YA00105805.lab.YA00105805.iso.1,WTCHG_934395_72795255,ERR13289264,SAMEA115747730,PRJEB76547,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/064/ERR13289264/ERR13289264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/064/ERR13289264/ERR13289264_2.fastq.gz
site.10.subj.YA00097175.lab.YA00097175.iso.1,WTCHG_934881_73735349,ERR9993235,SAMEA110420757,PRJEB55007,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/005/ERR9993235/ERR9993235_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/005/ERR9993235/ERR9993235_2.fastq.gz
site.10.subj.YA00091162.lab.YA00091162.iso.1,WTCHG_934394_70915067,ERR9992847,SAMEA110420204,PRJEB55007,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/007/ERR9992847/ERR9992847_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/007/ERR9992847/ERR9992847_2.fastq.gz
site.10.subj.YA00020260.lab.YA00020260.iso.1,WTCHG_933274_70075079,ERR13286048,SAMEA115747211,PRJEB76547,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/048/ERR13286048/ERR13286048_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/048/ERR13286048/ERR13286048_2.fastq.gz
site.10.subj.XK00733590.lab.XK00733590.iso.1,WTCHG_934395_73375313,ERR9992938,SAMEA110420295,PRJEB55007,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/008/ERR9992938/ERR9992938_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/008/ERR9992938/ERR9992938_2.fastq.gz
site.10.subj.YA00110866.lab.YA00110866.iso.1,WTCHG_934394_70095081,ERR9992852,SAMEA110420209,PRJEB55007,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/002/ERR9992852/ERR9992852_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/002/ERR9992852/ERR9992852_2.fastq.gz
site.10.subj.YA00113108.lab.YA00113108.iso.1,WTCHG_934394_70105082,ERR9992853,SAMEA110420210,PRJEB55007,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/003/ERR9992853/ERR9992853_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/003/ERR9992853/ERR9992853_2.fastq.gz
site.10.subj.YA00113110.lab.YA00113110.iso.1,WTCHG_934394_71405116,ERR13288954,SAMEA115747611,PRJEB76547,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/054/ERR13288954/ERR13288954_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/054/ERR13288954/ERR13288954_2.fastq.gz
site.10.subj.YA00194374.lab.YA00194374.iso.1,WTCHG_934394_71525128,ERR9992890,SAMEA110420247,PRJEB55007,False,1,1,2,R,,S,,,ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/000/ERR9992890/ERR9992890_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR999/000/ERR9992890/ERR9992890_2.fastq.gz
